SS_NoSpace,SiteSeriesLongName
CDFmm/Em07,Common spikerush – Lyngbye's sedge
CDFmm/Es01,Crabapple – Lily-of-the-valley – Angelicas
CDFmm/Es02,Sitka willow – Lily-of-the-valley
CDFmm/Fl51,Dr – Salmonberry – Horsetail
CDFmm/Fm53,ActDr – Salmonberry – Lily-of-the-Valley
CDFmm/Fm54,MbDr – Salmonberry – Sword fern
CDFmm/Gg60,California oatgrass – Roemer's fescue – Woolly-sunflower
CDFmm/Gg61,California oatgrass – Triteleia – Small-leaved monkeyflower
CDFmm/Gg62,Small-leaved bentgrass – Bear's-foot sanicle – Puget Sound gumweed
CDFmm/Gg63,Purple sanicle – Ross' sedge – Oval sedge
CDFmm/Ro60,Wallace's selaginella – Long rock moss
CDFmm/Ro60.1,Wallace's selaginella – Long rock moss; Typic variation
CDFmm/Ro60.2,Wallace's selaginella – Long rock moss; Parsley fern variation
CDFmm/Ro61,Grey rock moss – Clad lichens
CDFmm/Ro61.1,Grey rock moss – Clad lichens; Typic variation
CDFmm/Ro61.2,Grey rock moss – Clad lichens; Parsley fern variation
CDFmm/Wb50,Labrador tea – Bog-laurel – Peat mosses
CDFmm/Wb55,Plc – Labrador tea – Peat mosses
CDFmm/Wb55.1,Plc – Labrador tea – Peat mosses; Typic variation
CDFmm/Wb55.2,Plc – Labrador tea – Peat mosses; Bog blueberry variation
CDFmm/Wb56,PlcHw – Salal – Peat mosses
CDFmm/Wf06,Slender sedge – Buckbean
CDFmm/Wf51,Sitka sedge – Peat mosses
CDFmm/Wf52,Sweet gale – Sitka sedge
CDFmm/Wf53,Slender sedge – White beakrush
CDFmm/Wm04,Common spikerush
CDFmm/Wm05,Cattail
CDFmm/Wm06,Soft-stemmed bulrush
CDFmm/Wm09,Inflated sedge
CDFmm/Wm11,Seacoast bulrush
CDFmm/Wm50,Sitka sedge – Water-parsley
CDFmm/Wm50.1,Sitka sedge – Water-parsley; Typic variation
CDFmm/Wm51,Three-way marsh-sedge
CDFmm/Wm52,Water horsetail – Sitka sedge
CDFmm/Ws50,Pink spirea – Sitka sedge
CDFmm/Ws51,Sitka willow – Pacific willow – Skunk cabbage
CDFmm/Ws51.1,Sitka willow – Pacific willow – Skunk cabbage; Typic variation
CDFmm/Ws52,Dr – Skunk cabbage
CDFmm/Ws53,Cw – Osoberry – Skunk cabbage
CDFmm/Ws57,CwHw – Skunk cabbage
CDFmm/Ws58,CwHw – Slough sedge
CDFmm/Ws58.1,CwHw – Slough sedge; Typic variation
CDFmm/Ws60,Ss – Crabapple – Slough sedge
CDFmm/Ws61,Dr – Slough sedge
CDFmm/Ws62,ActAt – Slough sedge
CMAwh/Ah33,Alaskan & White Mountain-heathers – Tufted hairgrass
CMAwh/Ah34,Yellow mountain-heath– Bog blueberry – Crowberry
CMAwh/Am34,Tufted hairgrass – Calder's lovage
CWHdm1/101,FdcHw – Red huckleberry – Salal
CWHdm1/101a,FdcHw – Red Huckleberry – Salal; Typic phase
CWHdm1/101b,FdcHw – Red huckleberry – Salal; Poor phase
CWHdm1/102,FdcRa – Heron's-bill mosses – Rock mosses
CWHdm1/103,FdcHw – Salal – Step moss
CWHdm1/104,FdCw – Dull Oregon-grape – Baldhip rose
CWHdm1/110,FdcHwCw – Sword fern
CWHdm1/111,CwHw – Deer fern – Sword fern
CWHdm1/112,HwCw – Sword fern – Vanilla-leaf
CWHdm1/112a,HwCw – Sword fern – Vanilla-leaf; Typic phase
CWHdm1/112b,HwCw – Sword fern – Vanilla-leaf; Fluctuating water table phase
CWHdm1/113,HwCw – Salmonberry – Sword fern
CWHdm1/Bb01,American searocket – Seabeach sandwort
CWHdm1/Bb02,Dune lymegrass
CWHdm1/Bb03,Large-headed sedge – Dune bluegrass
CWHdm1/Bb04,Silver burr ragweed
CWHdm1/Bb05,Beach strawberry – Red fescue – Dune tansy
CWHdm1/Bb06,Salal – Slender beaked moss
CWHdm1/Bb07,Kinnikinnick – Grey rock moss
CWHdm1/Bb08,Field wormwood – Red fescue – Grey rock moss
CWHdm1/Bb09,Grey rock moss
CWHdm1/Bb10,Dune bluegrass
CWHdm1/Bb11,Yellow sand-verbena
CWHdm1/Ed01,Tufted hairgrass – Meadow barley
CWHdm1/Ed03,Arctic rush – Alaska plantain
CWHdm1/Ed04,Cow parsnip – Silverweed cinquefoil
CWHdm1/Em01,Sea ditch-grass
CWHdm1/Em02,Pacific glasswort – Saltgrass
CWHdm1/Em03,Saltgrass
CWHdm1/Em05,Lyngbye's sedge
CWHdm1/Em07,Common spikerush – Lyngbye's sedge
